age_range,Embarked,Fare,SibSp,Parch,Pclass,Sex,Survived
1,Q,24.15,1,0,3,female,1
2,S,52.0,0,0,1,male,0
0,C,14.4542,1,0,3,female,0
1,S,8.05,0,0,3,male,0
1,S,9.825,1,0,3,female,0
0,C,14.4583,0,0,3,female,0
1,S,7.925,0,0,3,male,0
3,Q,7.75,0,0,3,male,0
1,S,21.0,1,0,2,male,0
1,C,247.5208,0,1,1,male,0
0,S,31.275,4,2,3,female,0
1,S,73.5,2,0,2,male,0
1,S,8.05,0,0,3,male,0
1,C,30.0708,1,0,2,male,0
1,S,13.0,0,0,2,female,1
2,S,77.2875,0,1,1,male,0
0,C,11.2417,1,0,3,male,1
1,Q,7.75,0,0,3,male,0
1,S,7.1417,0,0,3,male,1
1,C,22.3583,1,1,3,female,1
2,S,6.975,0,0,3,male,0
1,C,7.8958,0,0,3,male,0
1,S,7.05,0,0,3,male,0
2,S,14.5,1,0,3,female,0
1,S,26.0,1,0,2,female,1
1,S,13.0,0,0,2,male,0
1,C,15.0458,0,0,2,male,0
0,S,26.2833,0,2,1,female,1
1,S,53.1,1,0,1,male,0
0,S,9.2167,0,0,3,male,0
1,C,79.2,0,0,1,male,0
1,C,15.2458,0,2,3,female,0
1,S,7.75,0,0,3,female,1
1,S,15.85,1,0,3,female,1
0,Q,6.75,0,0,3,male,0
0,S,11.5,0,0,2,male,0
0,S,36.75,1,1,2,male,0
1,S,7.7958,0,0,3,male,1
0,S,34.375,2,2,3,female,0
1,S,26.0,0,2,2,male,0
2,S,13.0,0,0,2,male,0
2,S,12.525,0,0,2,male,0
1,S,66.6,1,0,1,female,1
2,S,8.05,0,0,3,male,0
2,S,14.5,0,2,3,male,0
1,S,7.3125,0,0,3,male,0
2,C,61.3792,0,1,1,male,0
0,Q,7.7333,0,0,3,female,1
1,S,8.05,0,0,3,male,0
1,S,8.6625,0,0,3,male,0
0,S,69.55,8,2,3,male,0
2,S,16.1,0,1,3,male,0
2,S,15.75,0,0,2,female,1
1,S,7.775,0,0,3,male,0
0,S,8.6625,0,0,3,male,0
0,S,39.6875,4,1,3,male,0
0,S,20.525,0,2,3,male,1
1,S,55.0,0,1,1,female,1
2,S,27.9,1,4,3,female,0
1,S,25.925,0,0,1,male,0
1,S,56.4958,0,0,3,male,0
3,S,33.5,0,0,1,male,0
0,Q,29.125,4,1,3,male,0
0,S,11.1333,1,1,3,female,1
1,S,7.925,0,0,3,male,0
2,C,30.6958,0,0,1,male,0
0,S,7.8542,1,1,3,male,0
0,S,25.4667,3,1,3,male,0
2,C,28.7125,0,0,1,female,0
1,S,13.0,0,0,2,male,0
1,S,0.0,0,0,3,male,0
1,S,69.55,8,2,3,female,0
1,C,15.05,0,0,2,male,0
0,S,31.3875,4,2,3,male,0
0,S,39.0,2,1,2,male,1
0,S,22.025,0,2,3,female,1
1,S,50.0,0,0,1,male,0
1,Q,15.5,1,0,3,female,1
2,S,26.55,0,0,1,male,1
2,Q,15.5,1,1,3,male,0
1,S,7.8958,0,0,3,male,0
1,S,13.0,0,0,2,female,1
0,S,13.0,0,0,2,male,0
0,S,7.8542,1,0,3,female,1
0,S,26.0,1,1,2,male,1
2,C,27.7208,0,0,1,female,1
2,C,146.5208,0,0,1,female,1
1,Q,7.75,0,0,3,male,0
2,S,8.4042,0,1,3,male,0
1,Q,7.75,0,0,3,female,1
1,S,13.0,0,0,2,female,0
1,S,9.5,0,0,3,male,0
1,S,69.55,8,2,3,male,0
1,S,6.4958,0,0,3,male,0
2,C,7.225,0,0,3,male,0
0,S,8.05,0,0,3,male,1
0,S,10.4625,0,1,3,female,0
1,S,15.85,1,0,3,male,0
1,C,18.7875,0,0,3,male,1
0,Q,7.75,0,0,3,female,1
2,C,31.0,0,0,1,male,1
1,S,7.05,0,0,3,male,0
1,S,21.0,0,0,2,female,1
1,S,7.25,0,0,3,male,0
1,S,13.0,0,0,2,male,0
1,Q,7.75,1,0,3,male,0
1,C,113.275,1,0,1,female,1
1,S,7.925,0,0,3,female,1
2,S,27.0,1,0,2,male,0
1,C,76.2917,0,0,1,female,1
1,S,10.5,0,0,2,male,0
0,S,8.05,0,0,3,male,1
1,S,13.0,0,0,2,male,0
2,S,8.05,0,0,3,male,0
1,S,7.8958,0,0,3,male,0
1,S,90.0,1,0,1,male,1
1,S,9.35,0,0,3,male,0
0,S,10.5,0,0,2,male,1
1,S,7.25,0,0,3,male,0
0,S,13.0,0,0,2,male,0
1,S,25.4667,3,1,3,female,0
1,S,83.475,1,0,1,female,1
1,S,7.775,0,0,3,male,0
2,S,13.5,0,0,2,male,0
0,S,31.3875,4,2,3,female,1
1,S,10.5,0,0,2,male,0
1,S,7.55,0,0,3,female,0
2,S,26.0,1,0,2,male,0
0,S,26.25,0,2,2,female,1
0,S,10.5,0,0,2,male,0
1,S,12.275,0,0,2,male,0
1,C,14.4542,1,0,3,female,0
1,Q,15.5,1,0,3,female,1
1,S,10.5,0,0,2,male,0
1,S,7.125,0,0,3,male,0
1,C,7.225,0,0,3,male,0
2,Q,90.0,2,0,1,male,0
1,S,7.775,0,0,3,female,0
1,S,14.5,0,2,2,female,1
1,S,52.5542,1,1,1,male,1
2,S,26.0,1,0,2,male,0
1,S,7.25,0,0,3,male,0
1,S,10.4625,1,1,3,female,0
3,S,26.55,0,0,1,male,0
1,S,16.1,1,0,3,male,0
2,S,20.2125,0,2,3,female,0
1,C,15.2458,0,2,3,female,1
1,C,79.2,0,0,1,female,1
1,S,86.5,0,0,1,female,1
1,C,512.3292,0,0,1,female,1
2,S,26.0,0,1,2,female,1
1,Q,7.75,0,0,3,male,0
0,S,31.3875,4,2,3,male,1
2,S,79.65,1,1,1,male,0
2,S,0.0,0,0,1,male,0
1,Q,7.75,0,0,3,female,0
1,S,10.5,0,0,2,male,0
0,S,39.6875,4,1,3,male,0
1,S,7.775,1,0,3,male,1
2,S,153.4625,0,1,1,female,1
1,S,135.6333,0,0,1,female,1
1,S,31.0,0,0,1,male,0
1,S,0.0,0,0,3,male,1
2,S,19.5,0,1,2,female,1
1,C,29.7,0,1,1,male,0
1,Q,7.75,0,0,3,female,1
3,S,77.9583,1,0,1,female,1
2,S,7.75,0,0,3,female,0
1,S,0.0,0,0,2,male,0
0,Q,29.125,4,1,3,male,0
1,S,20.25,1,1,3,female,1
3,Q,7.75,0,0,3,male,0
1,S,7.8542,0,0,3,male,0
0,S,9.5,0,0,3,male,0
0,S,8.05,0,0,3,male,1
1,S,26.0,0,0,1,male,0
1,C,8.6625,0,0,3,male,0
1,S,9.5,0,0,3,male,1
1,S,7.8958,0,0,3,male,0
2,S,13.0,0,0,2,male,1
1,Q,7.75,0,0,3,female,1
1,S,78.85,0,0,1,female,1
0,C,91.0792,1,0,1,female,1
1,C,12.875,0,0,2,male,0
1,S,8.85,0,0,3,female,0
1,S,7.8958,0,0,3,male,0
1,C,27.7208,0,0,1,male,0
1,C,7.2292,0,0,3,male,0
0,S,151.55,1,2,1,female,0
1,S,30.5,0,0,1,male,1
2,C,247.5208,0,1,1,female,1
1,Q,7.75,0,0,3,female,1
1,Q,23.25,2,0,3,male,1
0,S,0.0,0,0,3,male,0
1,Q,12.35,0,0,2,female,1
1,S,8.05,0,0,3,male,0
0,S,151.55,1,2,1,male,1
1,C,110.8833,0,0,1,female,1
0,C,108.9,1,0,1,female,1
1,C,24.0,1,0,2,male,0
1,C,56.9292,0,0,1,female,1
1,C,83.1583,0,0,1,female,1
0,C,262.375,2,2,1,female,1
1,S,26.0,1,1,2,female,0
1,S,7.8958,0,0,3,male,0
2,S,26.25,1,1,2,male,0
1,S,7.8542,0,0,3,female,1
1,S,26.0,1,0,2,female,1
2,S,14.0,0,0,2,male,0
1,S,164.8667,0,2,1,female,1
2,C,134.5,1,1,1,female,1
1,S,7.25,0,0,3,male,0
1,S,7.8958,0,0,3,male,0
1,Q,12.35,0,0,2,female,1
1,S,29.0,1,1,2,female,1
1,S,69.55,8,2,3,male,0
1,C,135.6333,0,0,1,female,1
3,S,6.2375,0,0,3,male,0
1,S,13.0,0,0,2,female,1
1,S,20.525,1,1,3,female,1
0,C,57.9792,0,1,1,female,1
1,Q,23.25,2,0,3,female,1
2,S,28.5,0,0,1,male,0
1,S,153.4625,0,1,1,male,0
0,S,18.0,2,0,3,male,0
1,S,133.65,1,0,1,female,1
1,S,7.8958,0,0,3,male,0
1,S,66.6,1,0,1,male,0
2,C,134.5,0,0,1,female,1
2,S,8.05,0,0,3,male,1
2,S,35.5,0,0,1,male,0
0,S,26.0,1,1,2,male,1
1,S,263.0,3,2,1,female,1
1,S,13.0,0,0,2,male,0
1,S,13.0,0,0,2,male,0
1,S,13.0,0,0,2,male,0
1,S,13.0,0,0,2,female,1
2,S,13.0,0,0,2,female,1
1,S,16.1,1,0,3,female,1
0,S,15.9,1,1,3,male,1
2,S,8.6625,0,0,3,male,0
1,S,9.225,0,0,3,male,0
1,S,35.0,0,0,1,male,0
0,C,7.2292,1,1,3,male,0
1,S,17.8,1,0,3,male,0
1,C,7.225,0,0,3,male,0
1,S,9.5,0,0,3,male,0
1,S,55.0,0,1,1,female,1
1,S,13.0,0,0,2,female,0
1,Q,7.8792,0,0,3,female,1
1,Q,7.8792,0,0,3,female,1
2,S,27.9,1,4,3,male,0
1,C,27.7208,1,0,2,male,0
2,C,14.4542,0,1,3,female,0
1,S,7.05,0,0,3,male,0
1,Q,15.5,1,0,3,male,0
1,S,7.25,0,0,3,male,0
3,C,75.25,1,0,1,female,1
1,C,7.2292,0,0,3,female,1
1,Q,7.75,0,0,3,female,1
1,C,69.3,0,0,1,female,1
1,C,55.4417,1,0,1,male,1
0,S,6.4958,1,0,3,male,0
0,S,8.05,0,0,3,male,0
1,C,135.6333,0,0,1,male,0
0,S,21.075,3,1,3,female,0
1,C,82.1708,1,0,1,female,1
1,S,7.25,0,0,3,female,1
1,C,211.5,0,2,1,male,0
1,C,4.0125,0,0,3,male,0
0,S,7.775,0,0,3,male,0
2,C,227.525,0,0,1,female,1
0,C,15.7417,0,2,3,female,1
1,S,7.925,0,0,3,male,0
1,S,52.0,1,0,1,female,1
1,S,7.8958,0,0,3,male,0
0,S,73.5,0,0,2,male,0
0,S,46.9,5,2,3,male,0
1,S,13.0,0,0,2,female,1
1,Q,7.7292,0,0,3,male,0
0,C,12.0,0,0,2,female,1
1,S,120.0,1,2,1,male,1
1,S,7.7958,0,0,3,male,1
1,S,7.925,2,0,3,male,0
1,C,113.275,1,0,1,female,1
1,S,16.7,0,2,3,female,1
1,S,7.7958,0,0,3,male,0
1,S,7.8542,0,0,3,female,0
2,S,26.0,0,0,2,male,0
1,S,10.5,0,0,2,male,0
1,S,12.65,0,0,2,female,1
1,S,7.925,0,0,3,male,1
1,S,8.05,0,0,3,male,0
1,S,9.825,1,0,3,female,0
1,S,15.85,1,0,3,male,0
1,S,8.6625,0,0,3,female,0
1,S,21.0,1,0,2,male,0
2,S,7.75,0,0,3,male,0
0,S,18.75,1,1,2,male,1
1,S,7.775,0,0,3,male,0
1,S,25.4667,3,1,3,female,0
1,S,7.8958,0,0,3,male,0
1,Q,6.8583,0,0,3,male,0
1,Q,90.0,1,0,1,female,1
1,S,0.0,0,0,2,male,0
2,S,7.925,0,0,3,male,1
1,S,8.05,0,0,3,female,0
1,S,32.5,1,1,2,female,1
0,S,13.0,0,2,2,female,1
1,S,13.0,0,0,2,male,0
0,S,24.15,0,2,3,female,0
1,C,7.8958,0,0,3,male,0
1,Q,7.7333,0,0,3,male,0
1,S,7.875,0,0,3,male,0
1,S,14.4,1,1,3,female,0
0,S,20.2125,1,1,3,male,0
1,S,7.25,0,0,3,male,0
1,S,26.0,1,0,2,female,1
0,S,26.0,0,0,2,female,1
1,Q,7.75,0,0,3,male,0
1,S,8.05,0,0,3,male,1
1,S,26.55,0,0,1,male,1
1,S,16.1,1,0,3,female,1
2,S,26.0,1,0,2,female,1
0,S,7.125,0,0,3,male,0
2,S,55.9,1,0,1,male,0
0,S,120.0,1,2,1,female,1
1,S,34.375,2,2,3,female,0
1,S,18.75,2,3,2,female,1
3,S,263.0,1,4,1,male,0
1,S,10.5,0,0,2,male,0
2,S,26.25,1,1,2,female,1
1,S,9.5,0,0,3,male,0
1,S,7.775,1,0,3,male,0
1,S,13.0,0,0,2,female,1
1,S,8.1125,0,0,3,male,1
0,S,81.8583,0,2,1,male,1
0,S,19.5,0,1,2,female,1
1,S,26.55,0,0,1,male,1
0,C,19.2583,2,1,3,female,1
2,S,30.5,0,0,1,male,1
1,S,27.75,1,2,2,male,0
1,S,19.9667,1,0,3,male,0
1,C,27.75,0,0,1,male,0
2,C,89.1042,1,0,1,male,1
1,S,8.05,0,0,3,male,0
1,C,7.8958,0,0,3,male,1
3,S,26.55,0,0,1,male,0
1,S,51.8625,1,0,1,female,1
2,S,10.5,0,0,2,female,1
1,Q,7.75,0,0,3,male,0
2,S,26.55,0,0,1,male,1
1,S,8.05,0,0,3,male,0
2,S,38.5,0,0,1,male,0
2,S,13.0,0,0,2,male,0
1,S,8.05,0,0,3,male,0
1,S,7.05,0,0,3,male,0
1,S,0.0,0,0,2,male,0
2,S,26.55,0,0,1,male,0
1,Q,7.725,0,0,3,male,0
0,C,19.2583,2,1,3,female,1
1,S,7.25,0,0,3,male,0
1,S,8.6625,0,0,3,male,0
1,S,27.75,1,2,2,female,1
1,C,13.7917,0,0,2,female,1
1,S,9.8375,0,0,3,female,0
1,S,52.0,0,0,1,male,0
1,S,21.0,1,0,2,male,0
1,S,7.0458,1,0,3,male,0
1,S,7.5208,0,0,3,male,0
0,S,12.2875,0,1,3,female,1
0,S,46.9,5,2,3,male,0
1,S,0.0,0,0,2,male,0
2,S,8.05,0,0,3,male,0
3,S,9.5875,0,0,3,female,1
1,C,91.0792,1,0,1,male,1
1,S,25.4667,3,1,3,female,0
1,S,90.0,1,0,1,female,1
2,C,29.7,0,0,1,male,0
1,S,8.05,0,0,3,male,0
0,S,15.9,1,1,3,male,1
1,S,19.9667,1,0,3,male,0
1,S,7.25,0,0,3,male,0
2,S,30.5,0,0,1,male,0
3,C,49.5042,0,0,1,male,0
1,S,8.05,0,0,3,male,0
1,C,14.4583,0,0,3,male,0
2,C,78.2667,1,0,1,female,1
1,S,15.1,0,0,3,male,0
1,S,151.55,1,2,1,female,0
1,S,7.7958,0,0,3,male,0
0,S,8.6625,0,0,3,male,0
1,Q,7.75,0,0,3,female,0
1,Q,7.6292,0,0,3,female,0
1,S,9.5875,0,0,3,female,0
0,S,86.5,0,0,1,female,1
0,C,108.9,1,0,1,male,0
1,S,26.0,0,2,2,female,1
1,S,26.55,0,0,1,male,1
1,S,22.525,0,0,3,male,0
1,S,56.4958,0,0,3,male,1
1,Q,7.75,0,0,3,male,1
1,S,8.05,0,0,3,male,0
1,S,26.2875,0,0,1,male,1
2,C,59.4,1,0,1,female,1
1,S,7.4958,0,0,3,male,0
2,S,34.0208,0,0,1,male,0
1,S,10.5,0,0,2,female,1
1,Q,24.15,0,0,3,male,0
1,S,26.0,1,0,2,female,1
1,S,7.8958,0,0,3,male,0
1,S,93.5,0,0,1,female,1
1,S,7.8958,0,0,3,male,0
1,C,7.225,0,0,3,male,0
2,C,57.9792,0,1,1,female,1
1,C,7.2292,0,0,3,male,0
2,Q,7.75,0,0,3,male,0
2,S,10.5,0,0,2,female,1
1,S,221.7792,0,0,1,male,0
1,S,7.925,0,0,3,male,0
1,S,11.5,2,1,2,male,0
0,S,26.0,1,1,2,female,1
1,C,7.2292,0,0,3,male,0
0,C,7.2292,1,1,3,male,0
1,C,22.3583,0,2,3,female,1
1,S,8.6625,0,0,3,female,0
0,S,26.25,0,2,2,female,1
2,S,26.55,0,0,1,male,0
1,C,106.425,0,0,1,female,1
1,S,14.5,0,0,3,male,0
1,C,49.5,0,2,1,female,1
1,S,71.0,0,2,1,female,1
0,S,31.275,4,2,3,female,0
0,S,31.275,4,2,3,female,0
1,S,26.0,1,0,2,male,1
2,C,106.425,1,0,1,male,0
3,S,26.0,0,0,1,male,0
0,S,26.0,1,0,2,female,1
1,C,13.8625,0,0,2,male,1
1,S,20.525,1,1,3,male,0
0,S,36.75,1,1,2,male,1
0,C,110.8833,0,2,1,male,1
1,S,26.0,0,0,2,male,0
1,Q,7.8292,0,0,3,male,0
1,C,7.225,0,0,3,male,1
1,S,7.775,0,0,3,female,1
3,S,26.55,0,0,1,male,0
2,C,39.6,1,0,1,female,1
1,C,227.525,0,0,1,male,0
1,S,79.65,1,1,1,female,1
1,S,17.4,1,0,3,female,1
1,Q,7.75,0,0,3,male,0
2,S,7.8958,0,0,3,male,0
1,S,13.5,0,0,2,male,0
1,S,8.05,0,0,3,male,0
1,S,8.05,0,0,3,female,0
1,S,24.15,2,0,3,male,0
0,S,7.8958,0,0,3,male,0
1,S,21.075,0,4,3,female,0
1,C,7.2292,0,0,3,male,0
1,S,7.8542,0,0,3,male,1
3,S,10.5,0,0,2,male,1
2,S,51.4792,2,0,1,female,1
1,S,26.3875,0,0,1,male,1
1,Q,7.75,0,0,3,female,1
0,S,8.05,0,0,3,male,0
0,S,14.5,0,0,3,male,0
1,S,13.0,0,0,2,female,1
1,S,55.9,1,0,1,female,1
1,C,14.4583,1,0,3,female,0
1,S,7.925,0,0,3,male,1
1,S,30.0,1,1,2,female,1
1,C,110.8833,1,1,1,female,1
2,S,26.0,0,0,2,male,0
1,C,40.125,0,0,1,male,0
1,C,8.7125,0,0,3,male,0
0,S,79.65,0,2,1,female,1
2,S,15.0,0,0,2,male,0
3,C,79.2,1,1,1,male,1
1,S,8.05,0,0,3,male,0
1,S,8.05,0,0,3,male,0
1,S,7.125,0,0,3,male,0
2,C,78.2667,1,0,1,female,1
2,S,7.25,0,0,3,male,0
1,Q,7.75,0,2,3,female,0
1,S,26.0,1,0,2,male,0
1,S,24.15,1,1,3,male,0
1,S,33.0,0,0,2,female,1
2,S,0.0,0,0,3,male,0
1,C,7.225,0,0,3,male,0
2,C,56.9292,1,0,1,male,1
1,S,27.0,2,1,2,female,1
1,S,7.8958,0,0,3,male,0
1,S,42.4,0,0,1,male,0
2,S,8.05,0,0,3,male,0
1,C,26.55,0,0,1,male,1
1,S,15.55,1,0,3,male,0
1,S,7.8958,0,0,3,male,0
1,S,30.5,0,0,1,male,1
1,C,41.5792,1,2,2,female,1
2,S,153.4625,0,0,1,female,1
1,S,31.275,1,5,3,female,0
1,S,7.05,0,0,3,male,0
1,Q,15.5,1,0,3,female,1
1,Q,7.75,0,0,3,male,0
1,S,8.05,0,0,3,male,0
1,S,65.0,1,2,2,female,1
1,S,14.4,1,1,3,male,0
1,S,16.1,1,0,3,female,0
0,S,39.0,2,1,2,female,1
1,S,10.5,0,0,2,male,0
1,C,14.4542,1,0,3,male,0
2,S,52.5542,1,0,1,male,1
1,C,15.7417,1,1,3,male,1
1,S,7.8542,0,0,3,male,0
1,S,16.1,0,0,3,male,0
3,S,32.3208,0,0,1,male,0
2,Q,12.35,0,0,2,male,0
1,S,77.9583,0,0,1,female,1
1,S,7.8958,0,0,3,male,0
1,Q,7.7333,0,0,3,male,0
3,S,30.0,0,0,1,male,1
2,S,7.0542,0,0,3,male,0
1,C,30.5,0,0,1,male,1
1,S,0.0,0,0,1,male,0
0,S,27.9,3,2,3,female,0
1,S,13.0,0,0,2,female,1
1,S,7.925,0,0,3,male,0
1,S,26.25,1,1,2,male,0
2,S,39.6875,0,5,3,female,0
1,S,16.1,1,0,3,male,0
1,S,7.8542,0,0,3,male,0
1,C,69.3,0,0,1,female,1
0,S,27.9,3,2,3,female,0
1,S,56.4958,0,0,3,male,1
0,C,19.2583,2,1,3,female,1
2,C,76.7292,1,0,1,male,1
0,S,7.8958,0,0,3,male,0
2,C,35.5,0,0,1,male,1
1,S,7.55,0,0,3,male,0
1,S,7.55,0,0,3,female,1
1,S,7.8958,0,0,3,male,0
0,S,23.0,0,1,2,female,1
1,S,8.4333,0,0,3,male,0
1,Q,7.8292,0,0,3,female,1
0,Q,6.75,0,0,3,female,0
1,S,73.5,2,0,2,male,0
1,S,7.8958,0,0,3,male,0
1,Q,15.5,1,1,3,female,0
1,S,13.0,0,0,2,male,0
2,C,113.275,0,2,1,male,0
2,S,133.65,2,0,1,male,1
2,C,7.225,0,0,3,male,0
2,S,25.5875,0,0,1,male,0
1,S,7.4958,0,0,3,male,0
1,S,7.925,1,0,3,male,1
1,S,73.5,2,0,2,male,0
1,S,13.0,0,0,2,male,0
1,S,7.775,0,0,3,male,0
2,S,8.05,0,0,3,male,0
1,S,52.0,1,0,1,female,1
2,S,39.0,1,1,2,female,1
1,S,52.0,1,0,1,male,0
3,S,10.5,0,0,2,male,0
1,S,13.0,0,0,2,male,1
1,S,0.0,0,0,2,male,0
0,S,7.775,0,0,3,male,0
1,S,8.05,0,0,3,male,0
0,S,9.8417,0,0,3,female,1
2,S,46.9,1,6,3,female,0
1,C,512.3292,0,1,1,male,1
1,Q,8.1375,0,0,3,female,0
1,C,76.7292,0,0,1,male,1
1,S,9.225,0,0,3,male,0
0,S,46.9,5,2,3,male,0
3,S,39.0,1,1,2,male,0
1,C,41.5792,1,2,2,male,0
0,S,39.6875,4,1,3,male,0
0,S,10.1708,0,0,3,male,0
0,S,7.7958,0,0,3,male,0
0,S,211.3375,0,1,1,female,1
1,S,57.0,1,0,1,male,1
0,C,13.4167,0,1,3,female,1
1,S,56.4958,0,0,3,male,1
1,C,7.225,0,0,3,male,0
3,S,26.55,0,0,1,male,0
2,S,13.5,0,0,2,male,0
2,S,8.05,0,0,3,male,0
1,Q,7.7333,0,0,3,female,1
2,C,110.8833,1,1,1,male,0
2,S,7.65,0,0,3,male,0
0,C,227.525,1,0,1,female,1
1,S,26.2875,0,0,1,male,1
0,C,14.4542,0,1,3,female,0
1,Q,7.7417,0,0,3,male,0
1,S,7.8542,1,0,3,male,0
1,S,26.0,0,0,2,male,0
2,S,13.5,0,0,2,female,1
2,S,26.2875,0,0,1,male,1
1,S,151.55,0,0,1,female,1
0,C,15.2458,1,1,3,male,1
1,C,49.5042,0,0,1,female,1
1,S,26.55,0,0,1,male,0
2,S,52.0,1,0,1,male,1
1,S,9.4833,0,0,3,male,0
2,S,13.0,0,0,2,male,0
0,S,7.65,0,0,3,male,0
1,C,227.525,0,0,1,female,1
1,S,10.5,0,0,2,female,1
1,Q,15.5,0,0,3,male,0
1,S,7.775,0,0,3,male,0
0,S,33.0,0,1,2,female,1
0,S,7.0542,1,0,3,male,0
1,S,13.0,0,0,2,male,0
2,S,13.0,0,0,2,male,0
1,S,53.1,1,0,1,male,1
1,S,8.6625,0,0,3,male,0
1,S,21.0,3,0,2,female,1
1,Q,7.7375,0,0,3,female,1
1,S,26.0,1,0,2,male,0
1,S,7.925,1,0,3,female,0
1,S,211.3375,0,0,1,female,1
0,C,18.7875,0,0,3,male,0
1,S,0.0,0,0,2,male,0
1,S,13.0,0,0,2,male,0
1,S,13.0,0,0,2,male,0
1,S,16.1,0,0,3,male,0
2,S,34.375,1,3,3,female,0
1,C,512.3292,0,0,1,male,1
1,S,7.8958,0,0,3,male,0
1,S,7.8958,0,0,3,male,0
1,S,30.0,0,0,1,male,1
1,S,78.85,1,0,1,male,0
1,C,262.375,2,2,1,female,1
1,S,16.1,1,0,3,male,0
1,S,7.925,0,0,3,male,1
3,S,71.0,1,1,1,male,0
0,S,20.25,1,1,3,male,0
1,S,13.0,0,0,2,female,1
0,S,53.1,1,0,1,male,0
1,Q,7.75,0,0,3,male,0
0,S,23.0,1,1,2,female,1
0,S,12.475,0,1,3,male,1
1,S,9.5,0,0,3,male,0
1,S,7.8958,0,0,3,male,0
2,S,65.0,1,2,2,female,1
0,S,14.5,1,1,2,male,1
