age2,Embarked,Fare,SibSp,Parch,Pclass,Sex,Survived
19.0,S,13.0,0,0,2,male,0
19.0,S,7.8542,1,0,3,female,1
3.0,S,26.0,1,1,2,male,1
44.0,C,27.7208,0,0,1,female,1
58.0,C,146.5208,0,0,1,female,1
32.368090452261306,Q,7.75,0,0,3,male,0
42.0,S,8.4042,0,1,3,male,0
21.773972602739725,Q,7.75,0,0,3,female,1
24.0,S,13.0,0,0,2,female,0
28.0,S,9.5,0,0,3,male,0
32.368090452261306,S,69.55,8,2,3,male,0
34.0,S,6.4958,0,0,3,male,0
45.5,C,7.225,0,0,3,male,0
18.0,S,8.05,0,0,3,male,1
2.0,S,10.4625,0,1,3,female,0
32.0,S,15.85,1,0,3,male,0
26.0,C,18.7875,0,0,3,male,1
16.0,Q,7.75,0,0,3,female,1
40.0,C,31.0,0,0,1,male,1
24.0,S,7.05,0,0,3,male,0
35.0,S,21.0,0,0,2,female,1
22.0,S,7.25,0,0,3,male,0
30.0,S,13.0,0,0,2,male,0
32.368090452261306,Q,7.75,1,0,3,male,0
31.0,C,113.275,1,0,1,female,1
27.0,S,7.925,0,0,3,female,1
42.0,S,27.0,1,0,2,male,0
32.0,C,76.2917,0,0,1,female,1
30.0,S,10.5,0,0,2,male,0
16.0,S,8.05,0,0,3,male,1
27.0,S,13.0,0,0,2,male,0
51.0,S,8.05,0,0,3,male,0
32.368090452261306,S,7.8958,0,0,3,male,0
38.0,S,90.0,1,0,1,male,1
22.0,S,9.35,0,0,3,male,0
19.0,S,10.5,0,0,2,male,1
20.5,S,7.25,0,0,3,male,0
18.0,S,13.0,0,0,2,male,0
21.773972602739725,S,25.4667,3,1,3,female,0
35.0,S,83.475,1,0,1,female,1
29.0,S,7.775,0,0,3,male,0
59.0,S,13.5,0,0,2,male,0
5.0,S,31.3875,4,2,3,female,1
24.0,S,10.5,0,0,2,male,0
21.773972602739725,S,7.55,0,0,3,female,0
44.0,S,26.0,1,0,2,male,0
8.0,S,26.25,0,2,2,female,1
19.0,S,10.5,0,0,2,male,0
33.0,S,12.275,0,0,2,male,0
21.773972602739725,C,14.4542,1,0,3,female,0
21.773972602739725,Q,15.5,1,0,3,female,1
29.0,S,10.5,0,0,2,male,0
22.0,S,7.125,0,0,3,male,0
30.0,C,7.225,0,0,3,male,0
44.0,Q,90.0,2,0,1,male,0
25.0,S,7.775,0,0,3,female,0
24.0,S,14.5,0,2,2,female,1
37.0,S,52.5542,1,1,1,male,1
54.0,S,26.0,1,0,2,male,0
32.368090452261306,S,7.25,0,0,3,male,0
29.0,S,10.4625,1,1,3,female,0
62.0,S,26.55,0,0,1,male,0
30.0,S,16.1,1,0,3,male,0
41.0,S,20.2125,0,2,3,female,0
29.0,C,15.2458,0,2,3,female,1
35.898148148148145,C,79.2,0,0,1,female,1
30.0,S,86.5,0,0,1,female,1
35.0,C,512.3292,0,0,1,female,1
50.0,S,26.0,0,1,2,female,1
32.368090452261306,Q,7.75,0,0,3,male,0
3.0,S,31.3875,4,2,3,male,1
52.0,S,79.65,1,1,1,male,0
40.0,S,0.0,0,0,1,male,0
21.773972602739725,Q,7.75,0,0,3,female,0
36.0,S,10.5,0,0,2,male,0
16.0,S,39.6875,4,1,3,male,0
25.0,S,7.775,1,0,3,male,1
58.0,S,153.4625,0,1,1,female,1
35.0,S,135.6333,0,0,1,female,1
32.368090452261306,S,31.0,0,0,1,male,0
25.0,S,0.0,0,0,3,male,1
41.0,S,19.5,0,1,2,female,1
37.0,C,29.7,0,1,1,male,0
21.773972602739725,Q,7.75,0,0,3,female,1
63.0,S,77.9583,1,0,1,female,1
45.0,S,7.75,0,0,3,female,0
32.368090452261306,S,0.0,0,0,2,male,0
7.0,Q,29.125,4,1,3,male,0
35.0,S,20.25,1,1,3,female,1
65.0,Q,7.75,0,0,3,male,0
28.0,S,7.8542,0,0,3,male,0
16.0,S,9.5,0,0,3,male,0
19.0,S,8.05,0,0,3,male,1
32.368090452261306,S,26.0,0,0,1,male,0
33.0,C,8.6625,0,0,3,male,0
30.0,S,9.5,0,0,3,male,1
22.0,S,7.8958,0,0,3,male,0
42.0,S,13.0,0,0,2,male,1
22.0,Q,7.75,0,0,3,female,1
26.0,S,78.85,0,0,1,female,1
19.0,C,91.0792,1,0,1,female,1
36.0,C,12.875,0,0,2,male,0
24.0,S,8.85,0,0,3,female,0
24.0,S,7.8958,0,0,3,male,0
32.368090452261306,C,27.7208,0,0,1,male,0
23.5,C,7.2292,0,0,3,male,0
2.0,S,151.55,1,2,1,female,0
32.368090452261306,S,30.5,0,0,1,male,1
50.0,C,247.5208,0,1,1,female,1
21.773972602739725,Q,7.75,0,0,3,female,1
32.368090452261306,Q,23.25,2,0,3,male,1
19.0,S,0.0,0,0,3,male,0
21.773972602739725,Q,12.35,0,0,2,female,1
32.368090452261306,S,8.05,0,0,3,male,0
0.92,S,151.55,1,2,1,male,1
21.773972602739725,C,110.8833,0,0,1,female,1
17.0,C,108.9,1,0,1,female,1
30.0,C,24.0,1,0,2,male,0
30.0,C,56.9292,0,0,1,female,1
24.0,C,83.1583,0,0,1,female,1
18.0,C,262.375,2,2,1,female,1
26.0,S,26.0,1,1,2,female,0
28.0,S,7.8958,0,0,3,male,0
43.0,S,26.25,1,1,2,male,0
26.0,S,7.8542,0,0,3,female,1
24.0,S,26.0,1,0,2,female,1
54.0,S,14.0,0,0,2,male,0
31.0,S,164.8667,0,2,1,female,1
40.0,C,134.5,1,1,1,female,1
22.0,S,7.25,0,0,3,male,0
27.0,S,7.8958,0,0,3,male,0
30.0,Q,12.35,0,0,2,female,1
22.0,S,29.0,1,1,2,female,1
32.368090452261306,S,69.55,8,2,3,male,0
36.0,C,135.6333,0,0,1,female,1
61.0,S,6.2375,0,0,3,male,0
36.0,S,13.0,0,0,2,female,1
31.0,S,20.525,1,1,3,female,1
16.0,C,57.9792,0,1,1,female,1
21.773972602739725,Q,23.25,2,0,3,female,1
45.5,S,28.5,0,0,1,male,0
38.0,S,153.4625,0,1,1,male,0
16.0,S,18.0,2,0,3,male,0
35.898148148148145,S,133.65,1,0,1,female,1
32.368090452261306,S,7.8958,0,0,3,male,0
29.0,S,66.6,1,0,1,male,0
41.0,C,134.5,0,0,1,female,1
45.0,S,8.05,0,0,3,male,1
45.0,S,35.5,0,0,1,male,0
2.0,S,26.0,1,1,2,male,1
24.0,S,263.0,3,2,1,female,1
28.0,S,13.0,0,0,2,male,0
25.0,S,13.0,0,0,2,male,0
36.0,S,13.0,0,0,2,male,0
24.0,S,13.0,0,0,2,female,1
40.0,S,13.0,0,0,2,female,1
35.898148148148145,S,16.1,1,0,3,female,1
3.0,S,15.9,1,1,3,male,1
42.0,S,8.6625,0,0,3,male,0
23.0,S,9.225,0,0,3,male,0
32.368090452261306,S,35.0,0,0,1,male,0
15.0,C,7.2292,1,1,3,male,0
25.0,S,17.8,1,0,3,male,0
32.368090452261306,C,7.225,0,0,3,male,0
28.0,S,9.5,0,0,3,male,0
22.0,S,55.0,0,1,1,female,1
38.0,S,13.0,0,0,2,female,0
21.773972602739725,Q,7.8792,0,0,3,female,1
21.773972602739725,Q,7.8792,0,0,3,female,1
40.0,S,27.9,1,4,3,male,0
29.0,C,27.7208,1,0,2,male,0
45.0,C,14.4542,0,1,3,female,0
35.0,S,7.05,0,0,3,male,0
32.368090452261306,Q,15.5,1,0,3,male,0
30.0,S,7.25,0,0,3,male,0
60.0,C,75.25,1,0,1,female,1
35.898148148148145,C,7.2292,0,0,3,female,1
21.773972602739725,Q,7.75,0,0,3,female,1
24.0,C,69.3,0,0,1,female,1
25.0,C,55.4417,1,0,1,male,1
18.0,S,6.4958,1,0,3,male,0
19.0,S,8.05,0,0,3,male,0
22.0,C,135.6333,0,0,1,male,0
3.0,S,21.075,3,1,3,female,0
35.898148148148145,C,82.1708,1,0,1,female,1
22.0,S,7.25,0,0,3,female,1
27.0,C,211.5,0,2,1,male,0
20.0,C,4.0125,0,0,3,male,0
19.0,S,7.775,0,0,3,male,0
42.0,C,227.525,0,0,1,female,1
1.0,C,15.7417,0,2,3,female,1
32.0,S,7.925,0,0,3,male,0
35.0,S,52.0,1,0,1,female,1
32.368090452261306,S,7.8958,0,0,3,male,0
18.0,S,73.5,0,0,2,male,0
1.0,S,46.9,5,2,3,male,0
36.0,S,13.0,0,0,2,female,1
32.368090452261306,Q,7.7292,0,0,3,male,0
17.0,C,12.0,0,0,2,female,1
36.0,S,120.0,1,2,1,male,1
21.0,S,7.7958,0,0,3,male,1
28.0,S,7.925,2,0,3,male,0
23.0,C,113.275,1,0,1,female,1
24.0,S,16.7,0,2,3,female,1
22.0,S,7.7958,0,0,3,male,0
31.0,S,7.8542,0,0,3,female,0
46.0,S,26.0,0,0,2,male,0
23.0,S,10.5,0,0,2,male,0
28.0,S,12.65,0,0,2,female,1
39.0,S,7.925,0,0,3,male,1
26.0,S,8.05,0,0,3,male,0
21.0,S,9.825,1,0,3,female,0
28.0,S,15.85,1,0,3,male,0
20.0,S,8.6625,0,0,3,female,0
34.0,S,21.0,1,0,2,male,0
51.0,S,7.75,0,0,3,male,0
3.0,S,18.75,1,1,2,male,1
21.0,S,7.775,0,0,3,male,0
21.773972602739725,S,25.4667,3,1,3,female,0
32.368090452261306,S,7.8958,0,0,3,male,0
32.368090452261306,Q,6.8583,0,0,3,male,0
33.0,Q,90.0,1,0,1,female,1
32.368090452261306,S,0.0,0,0,2,male,0
44.0,S,7.925,0,0,3,male,1
35.898148148148145,S,8.05,0,0,3,female,0
34.0,S,32.5,1,1,2,female,1
18.0,S,13.0,0,2,2,female,1
30.0,S,13.0,0,0,2,male,0
10.0,S,24.15,0,2,3,female,0
32.368090452261306,C,7.8958,0,0,3,male,0
21.0,Q,7.7333,0,0,3,male,0
29.0,S,7.875,0,0,3,male,0
28.0,S,14.4,1,1,3,female,0
18.0,S,20.2125,1,1,3,male,0
32.368090452261306,S,7.25,0,0,3,male,0
28.0,S,26.0,1,0,2,female,1
19.0,S,26.0,0,0,2,female,1
32.368090452261306,Q,7.75,0,0,3,male,0
32.0,S,8.05,0,0,3,male,1
28.0,S,26.55,0,0,1,male,1
35.898148148148145,S,16.1,1,0,3,female,1
42.0,S,26.0,1,0,2,female,1
17.0,S,7.125,0,0,3,male,0
50.0,S,55.9,1,0,1,male,0
14.0,S,120.0,1,2,1,female,1
21.0,S,34.375,2,2,3,female,0
24.0,S,18.75,2,3,2,female,1
64.0,S,263.0,1,4,1,male,0
31.0,S,10.5,0,0,2,male,0
45.0,S,26.25,1,1,2,female,1
20.0,S,9.5,0,0,3,male,0
25.0,S,7.775,1,0,3,male,0
28.0,S,13.0,0,0,2,female,1
32.368090452261306,S,8.1125,0,0,3,male,1
4.0,S,81.8583,0,2,1,male,1
13.0,S,19.5,0,1,2,female,1
34.0,S,26.55,0,0,1,male,1
5.0,C,19.2583,2,1,3,female,1
52.0,S,30.5,0,0,1,male,1
36.0,S,27.75,1,2,2,male,0
32.368090452261306,S,19.9667,1,0,3,male,0
30.0,C,27.75,0,0,1,male,0
49.0,C,89.1042,1,0,1,male,1
32.368090452261306,S,8.05,0,0,3,male,0
29.0,C,7.8958,0,0,3,male,1
65.0,S,26.55,0,0,1,male,0
35.898148148148145,S,51.8625,1,0,1,female,1
50.0,S,10.5,0,0,2,female,1
32.368090452261306,Q,7.75,0,0,3,male,0
48.0,S,26.55,0,0,1,male,1
34.0,S,8.05,0,0,3,male,0
47.0,S,38.5,0,0,1,male,0
48.0,S,13.0,0,0,2,male,0
32.368090452261306,S,8.05,0,0,3,male,0
38.0,S,7.05,0,0,3,male,0
32.368090452261306,S,0.0,0,0,2,male,0
56.0,S,26.55,0,0,1,male,0
32.368090452261306,Q,7.725,0,0,3,male,0
0.75,C,19.2583,2,1,3,female,1
32.368090452261306,S,7.25,0,0,3,male,0
38.0,S,8.6625,0,0,3,male,0
33.0,S,27.75,1,2,2,female,1
23.0,C,13.7917,0,0,2,female,1
22.0,S,9.8375,0,0,3,female,0
32.368090452261306,S,52.0,0,0,1,male,0
34.0,S,21.0,1,0,2,male,0
29.0,S,7.0458,1,0,3,male,0
22.0,S,7.5208,0,0,3,male,0
2.0,S,12.2875,0,1,3,female,1
9.0,S,46.9,5,2,3,male,0
32.368090452261306,S,0.0,0,0,2,male,0
50.0,S,8.05,0,0,3,male,0
63.0,S,9.5875,0,0,3,female,1
25.0,C,91.0792,1,0,1,male,1
21.773972602739725,S,25.4667,3,1,3,female,0
35.0,S,90.0,1,0,1,female,1
58.0,C,29.7,0,0,1,male,0
30.0,S,8.05,0,0,3,male,0
9.0,S,15.9,1,1,3,male,1
32.368090452261306,S,19.9667,1,0,3,male,0
21.0,S,7.25,0,0,3,male,0
55.0,S,30.5,0,0,1,male,0
71.0,C,49.5042,0,0,1,male,0
21.0,S,8.05,0,0,3,male,0
32.368090452261306,C,14.4583,0,0,3,male,0
54.0,C,78.2667,1,0,1,female,1
32.368090452261306,S,15.1,0,0,3,male,0
25.0,S,151.55,1,2,1,female,0
24.0,S,7.7958,0,0,3,male,0
17.0,S,8.6625,0,0,3,male,0
21.0,Q,7.75,0,0,3,female,0
21.773972602739725,Q,7.6292,0,0,3,female,0
37.0,S,9.5875,0,0,3,female,0
16.0,S,86.5,0,0,1,female,1
18.0,C,108.9,1,0,1,male,0
33.0,S,26.0,0,2,2,female,1
32.368090452261306,S,26.55,0,0,1,male,1
28.0,S,22.525,0,0,3,male,0
26.0,S,56.4958,0,0,3,male,1
29.0,Q,7.75,0,0,3,male,1
32.368090452261306,S,8.05,0,0,3,male,0
36.0,S,26.2875,0,0,1,male,1
54.0,C,59.4,1,0,1,female,1
24.0,S,7.4958,0,0,3,male,0
47.0,S,34.0208,0,0,1,male,0
34.0,S,10.5,0,0,2,female,1
32.368090452261306,Q,24.15,0,0,3,male,0
36.0,S,26.0,1,0,2,female,1
32.0,S,7.8958,0,0,3,male,0
30.0,S,93.5,0,0,1,female,1
22.0,S,7.8958,0,0,3,male,0
32.368090452261306,C,7.225,0,0,3,male,0
44.0,C,57.9792,0,1,1,female,1
32.368090452261306,C,7.2292,0,0,3,male,0
40.5,Q,7.75,0,0,3,male,0
50.0,S,10.5,0,0,2,female,1
32.368090452261306,S,221.7792,0,0,1,male,0
39.0,S,7.925,0,0,3,male,0
23.0,S,11.5,2,1,2,male,0
2.0,S,26.0,1,1,2,female,1
32.368090452261306,C,7.2292,0,0,3,male,0
17.0,C,7.2292,1,1,3,male,0
35.898148148148145,C,22.3583,0,2,3,female,1
30.0,S,8.6625,0,0,3,female,0
7.0,S,26.25,0,2,2,female,1
45.0,S,26.55,0,0,1,male,0
30.0,C,106.425,0,0,1,female,1
32.368090452261306,S,14.5,0,0,3,male,0
22.0,C,49.5,0,2,1,female,1
36.0,S,71.0,0,2,1,female,1
9.0,S,31.275,4,2,3,female,0
11.0,S,31.275,4,2,3,female,0
32.0,S,26.0,1,0,2,male,1
50.0,C,106.425,1,0,1,male,0
64.0,S,26.0,0,0,1,male,0
19.0,S,26.0,1,0,2,female,1
32.368090452261306,C,13.8625,0,0,2,male,1
33.0,S,20.525,1,1,3,male,0
8.0,S,36.75,1,1,2,male,1
17.0,C,110.8833,0,2,1,male,1
27.0,S,26.0,0,0,2,male,0
32.368090452261306,Q,7.8292,0,0,3,male,0
22.0,C,7.225,0,0,3,male,1
22.0,S,7.775,0,0,3,female,1
62.0,S,26.55,0,0,1,male,0
48.0,C,39.6,1,0,1,female,1
32.368090452261306,C,227.525,0,0,1,male,0
39.0,S,79.65,1,1,1,female,1
36.0,S,17.4,1,0,3,female,1
32.368090452261306,Q,7.75,0,0,3,male,0
40.0,S,7.8958,0,0,3,male,0
28.0,S,13.5,0,0,2,male,0
32.368090452261306,S,8.05,0,0,3,male,0
21.773972602739725,S,8.05,0,0,3,female,0
24.0,S,24.15,2,0,3,male,0
19.0,S,7.8958,0,0,3,male,0
29.0,S,21.075,0,4,3,female,0
32.368090452261306,C,7.2292,0,0,3,male,0
32.0,S,7.8542,0,0,3,male,1
62.0,S,10.5,0,0,2,male,1
53.0,S,51.4792,2,0,1,female,1
36.0,S,26.3875,0,0,1,male,1
21.773972602739725,Q,7.75,0,0,3,female,1
16.0,S,8.05,0,0,3,male,0
19.0,S,14.5,0,0,3,male,0
34.0,S,13.0,0,0,2,female,1
39.0,S,55.9,1,0,1,female,1
35.898148148148145,C,14.4583,1,0,3,female,0
32.0,S,7.925,0,0,3,male,1
25.0,S,30.0,1,1,2,female,1
39.0,C,110.8833,1,1,1,female,1
54.0,S,26.0,0,0,2,male,0
36.0,C,40.125,0,0,1,male,0
32.368090452261306,C,8.7125,0,0,3,male,0
18.0,S,79.65,0,2,1,female,1
47.0,S,15.0,0,0,2,male,0
60.0,C,79.2,1,1,1,male,1
22.0,S,8.05,0,0,3,male,0
32.368090452261306,S,8.05,0,0,3,male,0
35.0,S,7.125,0,0,3,male,0
52.0,C,78.2667,1,0,1,female,1
47.0,S,7.25,0,0,3,male,0
21.773972602739725,Q,7.75,0,2,3,female,0
37.0,S,26.0,1,0,2,male,0
36.0,S,24.15,1,1,3,male,0
21.773972602739725,S,33.0,0,0,2,female,1
49.0,S,0.0,0,0,3,male,0
32.368090452261306,C,7.225,0,0,3,male,0
49.0,C,56.9292,1,0,1,male,1
24.0,S,27.0,2,1,2,female,1
32.368090452261306,S,7.8958,0,0,3,male,0
32.368090452261306,S,42.4,0,0,1,male,0
44.0,S,8.05,0,0,3,male,0
35.0,C,26.55,0,0,1,male,1
36.0,S,15.55,1,0,3,male,0
30.0,S,7.8958,0,0,3,male,0
27.0,S,30.5,0,0,1,male,1
22.0,C,41.5792,1,2,2,female,1
40.0,S,153.4625,0,0,1,female,1
39.0,S,31.275,1,5,3,female,0
32.368090452261306,S,7.05,0,0,3,male,0
21.773972602739725,Q,15.5,1,0,3,female,1
32.368090452261306,Q,7.75,0,0,3,male,0
35.0,S,8.05,0,0,3,male,0
24.0,S,65.0,1,2,2,female,1
34.0,S,14.4,1,1,3,male,0
26.0,S,16.1,1,0,3,female,0
4.0,S,39.0,2,1,2,female,1
26.0,S,10.5,0,0,2,male,0
27.0,C,14.4542,1,0,3,male,0
42.0,S,52.5542,1,0,1,male,1
20.0,C,15.7417,1,1,3,male,1
21.0,S,7.8542,0,0,3,male,0
21.0,S,16.1,0,0,3,male,0
61.0,S,32.3208,0,0,1,male,0
57.0,Q,12.35,0,0,2,male,0
21.0,S,77.9583,0,0,1,female,1
26.0,S,7.8958,0,0,3,male,0
32.368090452261306,Q,7.7333,0,0,3,male,0
80.0,S,30.0,0,0,1,male,1
51.0,S,7.0542,0,0,3,male,0
32.0,C,30.5,0,0,1,male,1
32.368090452261306,S,0.0,0,0,1,male,0
9.0,S,27.9,3,2,3,female,0
28.0,S,13.0,0,0,2,female,1
32.0,S,7.925,0,0,3,male,0
31.0,S,26.25,1,1,2,male,0
41.0,S,39.6875,0,5,3,female,0
32.368090452261306,S,16.1,1,0,3,male,0
20.0,S,7.8542,0,0,3,male,0
24.0,C,69.3,0,0,1,female,1
2.0,S,27.9,3,2,3,female,0
32.368090452261306,S,56.4958,0,0,3,male,1
0.75,C,19.2583,2,1,3,female,1
48.0,C,76.7292,1,0,1,male,1
19.0,S,7.8958,0,0,3,male,0
56.0,C,35.5,0,0,1,male,1
32.368090452261306,S,7.55,0,0,3,male,0
23.0,S,7.55,0,0,3,female,1
32.368090452261306,S,7.8958,0,0,3,male,0
18.0,S,23.0,0,1,2,female,1
21.0,S,8.4333,0,0,3,male,0
21.773972602739725,Q,7.8292,0,0,3,female,1
18.0,Q,6.75,0,0,3,female,0
